ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,E_score,S_score,G_score,ESG_score
aei,Alset Ehome International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,https://static.finnhub.io/logo/98c8d7c249f43e2d9209af2a93fb646dc774a1a85a30840fc88e94859962870c.png,http://www.hfenterp.com,A,High,B,Medium,B,Medium,0.6165703275529866,0.09270216962524658,0.3375,937,20-04-2022,BBB,High,1750106,0.6165703275529866,0.09270216962524658,0.3375,0.3756887819087686
aeis,Advanced Energy Industries Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/9ae27426-80df-11ea-a9fa-00000000092a.png,https://www.advancedenergy.com/,A,High,BB,Medium,BB,Medium,0.5780346820809248,0.27613412228796846,0.5625,1100,16-04-2022,BBB,High,927003,0.5780346820809248,0.27613412228796846,0.5625,0.4828041095187604
aep,American Electric Power Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/65ca8abe-80eb-11ea-9cac-00000000092a.png,https://www.aep.com/,A,High,BB,Medium,BB,Medium,0.5780346820809248,0.27613412228796846,0.5625,1100,20-04-2022,BBB,High,4904,0.5780346820809248,0.27613412228796846,0.5625,0.4828041095187604
aemd,Aethlon Medical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/63fe5910-80d2-11ea-bdd5-00000000092a.png,https://www.aethlonmedical.com/,B,Medium,B,Medium,BB,Medium,0.0,0.2011834319526627,0.6,777,16-04-2022,BB,Medium,882291,0.0,0.2011834319526627,0.6,0.2403550295857988
aese,Allied Esports Entertainment Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static.finnhub.io/logo/60068062-80db-11ea-826d-00000000092a.png,https://ir.alliedesportsent.com/,B,Medium,B,Medium,B,Medium,0.0,0.07889546351084814,0.3125,600,10-06-2022,B,Medium,1708341,0.0,0.07889546351084814,0.3125,0.11741863905325445
aeye,AudioEye Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/d47b30ac-80da-11ea-acae-00000000092a.png,https://www.audioeye.com/,B,Medium,BB,Medium,BB,Medium,0.0674373795761079,0.2781065088757397,0.5825,844,16-04-2022,BB,Medium,1362190,0.0674373795761079,0.2781065088757397,0.5825,0.28515690449316505
aeri,Aerie Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/c3eb1f5c-80ce-11ea-bebe-00000000092a.png,https://aeriepharma.com/,A,High,B,Medium,BB,Medium,0.5780346820809248,0.20512820512820512,0.5875,1074,16-04-2022,BBB,High,1337553,0.5780346820809248,0.20512820512820512,0.5875,0.4690023343708315
aey,ADDvantage Technologies Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/d2abb4b87e579c2bb32357938df36ceafc9b5d1e999aee923ea9938b2acee94c.png,http://www.addvantagetechnologies.com/,B,Medium,B,Medium,BB,Medium,0.0674373795761079,0.14595660749506906,0.5625,769,16-04-2022,BB,Medium,874292,0.0674373795761079,0.14595660749506906,0.5625,0.23951193407896387
afaq,AF Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,,,,B,Medium,B,Medium,B,Medium,0.0,0.07889546351084814,0.3125,600,21-06-2022,B,Medium,1841661,0.0,0.07889546351084814,0.3125,0.11741863905325445
afmd,Affimed NV,EUR,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/29cc761a-80d0-11ea-ab42-00000000092a.png,https://www.affimed.com/,BB,Medium,BB,Medium,BB,Medium,0.3236994219653179,0.2840236686390533,0.5875,982,16-04-2022,BBB,High,1608390,0.3236994219653179,0.2840236686390533,0.5875,0.39093686937784317
